id,path,canonical,transcript,speaker_id,c_norm,t_norm,ph_error
PTT_7_NU_S0041_153,audio_data/train/PTT_7_NU_S0041_153.wav,ɓ əː-3 iz v i-1 m uə-1 h ɛ-1 n e-4 uz ɗ ɨə-5 kz ŋ i-3 h ɛ-1,ɓ əː-3 iz v i-1 m uə-1 h ɛ-1 n e-4 uz ɗ ɨə-5 kz ŋ i-3 h ɛ-1,S0041,ɓ əː-3 iz v i-1 m uə-1 h ɛ-1 n e-4 uz ɗ ɨə-5 kz ŋ i-3 h ɛ-1,ɓ əː-3 iz v i-1 m uə-1 h ɛ-1 n e-4 uz ɗ ɨə-5 kz ŋ i-3 h ɛ-1,False
MK_7_NU_S0007_4,audio_data/train/MK_7_NU_S0007_4.wav,m ɛ-5 t əː-4 l aː-1 mz ɓ o-4 t əː-4 n ə-4 uz ɗ o-1 a-0 nz k w ɛ-4 tz z ɔ-5 nz ɲ aː-1 k ɨə-3,m ɛ-5 t əː-4 l aː-1 mz ɓ o-4 t əː-4 n ə-4 uz ɗ o-1 a-0 nz k w ɛ-4 tz z ɔ-5 nz ɲ aː-1 k ɨə-3,S0007,m ɛ-5 t əː-4 l aː-1 mz ɓ o-4 t əː-4 n ə-4 uz ɗ o-1 a-0 nz k w ɛ-4 tz z ɔ-5 nz ɲ aː-1 k ɨə-3,m ɛ-5 t əː-4 l aː-1 mz ɓ o-4 t əː-4 n ə-4 uz ɗ o-1 a-0 nz k w ɛ-4 tz z ɔ-5 nz ɲ aː-1 k ɨə-3,False
TPA_Nu_6_S0009_138,audio_data/train/TPA_Nu_6_S0009_138.wav,tʰ ə-4 iz k o-0 u-4 tz ɗ aː-0 ŋz ɲ aː-1 uz ɓ o-5 tz s ɔ-4 kpz k ɔ-0 nz v o-5 iz v aː-1 ŋz ɗ ɨə-0 tʰ ɨ-0 t͡ɕ ɔ-0 k o-0 u-4 tz,tʰ ə-4 iz k o-0 u-4 tz ɗ aː-0 ŋz ɲ aː-1 uz ɓ o-5 tz s ɔ-4 kpz k ɔ-0 nz v o-5 iz v aː-1 ŋz ɗ ɨə-0 tʰ ɨ-0 t͡ɕ ɔ-0 k o-0 u-4 tz,S0009,tʰ ə-4 iz k o-0 u-4 tz ɗ aː-0 ŋz ɲ aː-1 uz ɓ o-5 tz s ɔ-4 kpz k ɔ-0 nz v o-5 iz v aː-1 ŋz ɗ ɨə-0 tʰ ɨ-0 t͡ɕ ɔ-0 k o-0 u-4 tz,tʰ ə-4 iz k o-0 u-4 tz ɗ aː-0 ŋz ɲ aː-1 uz ɓ o-5 tz s ɔ-4 kpz k ɔ-0 nz v o-5 iz v aː-1 ŋz ɗ ɨə-0 tʰ ɨ-0 t͡ɕ ɔ-0 k o-0 u-4 tz,False
LDMT_Nam_6_S00047_7,audio_data/train/LDMT_Nam_6_S00047_7.wav,ɗ e-0 mz k w aː-0 ɛ-0 mz n a-1 mz m əː-0 z ɛ-4 pz t͡ɕ i-4 pz t͡ɕ i-4 pz k uə-3 ɛ-0 mz ɓ i-5 t͡ɕ ɔ-4 l u-0 tʰ aː-0 ɗ i-0,ɗ e-0 mz k w aː-0 ɛ-0 mz n a-1 mz m əː-0 z ɛ-4 pz t͡ɕ i-4 pz t͡ɕ i-4 pz k uə-3 ɛ-0 mz ɓ i-5 t͡ɕ ɔ-4 l u-0 tʰ aː-0 ɗ i-0,S00047,ɗ e-0 mz k w aː-0 ɛ-0 mz n a-1 mz m əː-0 z ɛ-4 pz t͡ɕ i-4 pz t͡ɕ i-4 pz k uə-3 ɛ-0 mz ɓ i-5 t͡ɕ ɔ-4 l u-0 tʰ aː-0 ɗ i-0,ɗ e-0 mz k w aː-0 ɛ-0 mz n a-1 mz m əː-0 z ɛ-4 pz t͡ɕ i-4 pz t͡ɕ i-4 pz k uə-3 ɛ-0 mz ɓ i-5 t͡ɕ ɔ-4 l u-0 tʰ aː-0 ɗ i-0,False
NTM_Nam_6_S00010_33,audio_data/train/NTM_Nam_6_S00010_33.wav,k aː-1 iz k aː-4 iz ɗ ɔ-3 ɗ ə-2 mz k aː-4 iz ɗ ɔ-3 a-2 mz ɛ-0 mz,k aː-1 iz k aː-4 iz ɗ ɔ-3 ɗ ə-2 mz k aː-4 iz ɗ ɔ-3 a-2 mz ɛ-0 mz,S00010,k aː-1 iz k aː-4 iz ɗ ɔ-3 ɗ ə-2 mz k aː-4 iz ɗ ɔ-3 a-2 mz ɛ-0 mz,k aː-1 iz k aː-4 iz ɗ ɔ-3 ɗ ə-2 mz k aː-4 iz ɗ ɔ-3 a-2 mz ɛ-0 mz,False
THA_7_NU_S0043_44,audio_data/train/THA_7_NU_S0043_44.wav,ŋ w iə-2 nz ŋ ɔ-5 kpz k i-4 l aː-1 t ə-4 mz ɣ ɨə-0 ŋz s aː-4 ŋz v e-1 ɓ i-4 t͡ɕ i-4 k w ə-5 tz x ɔ-4,ŋ w iə-2 nz ŋ ɔ-5 kpz k i-4 l aː-1 t ə-4 mz ɣ ɨə-0 ŋz s aː-4 ŋz v e-1 ɓ i-4 t͡ɕ i-4 k w ə-5 tz x ɔ-4,S0043,ŋ w iə-2 nz ŋ ɔ-5 kpz k i-4 l aː-1 t ə-4 mz ɣ ɨə-0 ŋz s aː-4 ŋz v e-1 ɓ i-4 t͡ɕ i-4 k w ə-5 tz x ɔ-4,ŋ w iə-2 nz ŋ ɔ-5 kpz k i-4 l aː-1 t ə-4 mz ɣ ɨə-0 ŋz s aː-4 ŋz v e-1 ɓ i-4 t͡ɕ i-4 k w ə-5 tz x ɔ-4,False
DNK_7_NU_S0048_2,audio_data/train/DNK_7_NU_S0048_2.wav,t əː-4 ɗ ɔ-5 kpz t͡ɕ ɨə-4 kz,t əː-4 ɗ ɔ-5 kpz t͡ɕ ɨə-4 kz,S0048,t əː-4 ɗ ɔ-5 kpz t͡ɕ ɨə-4 kz,t əː-4 ɗ ɔ-5 kpz t͡ɕ ɨə-4 kz,False
PC_7_NAM_S0004_85,audio_data/train/PC_7_NAM_S0004_85.wav,ɓ w o-3 iz ɲ ɨ-2 ŋz ɓ w o-3 iz t o-4 iz ŋ a-1 iz ŋ i-3 n ɔ-4 f u-0 nz l ɨə-3 z ə-4 tz ɗ ɛ-5 pz ɗ ə-4 iz,ɓ w o-3 iz ɲ ɨ-2 ŋz ɓ w o-3 iz t o-4 iz ŋ a-1 iz ŋ i-3 n ɔ-4 f u-0 nz l ɨə-3 z ə-4 tz ɗ ɛ-5 pz ɗ ə-4 iz,S0004,ɓ w o-3 iz ɲ ɨ-2 ŋz ɓ w o-3 iz t o-4 iz ŋ a-1 iz ŋ i-3 n ɔ-4 f u-0 nz l ɨə-3 z ə-4 tz ɗ ɛ-5 pz ɗ ə-4 iz,ɓ w o-3 iz ɲ ɨ-2 ŋz ɓ w o-3 iz t o-4 iz ŋ a-1 iz ŋ i-3 n ɔ-4 f u-0 nz l ɨə-3 z ə-4 tz ɗ ɛ-5 pz ɗ ə-4 iz,False
TTD_7_NAM_S0001_150,audio_data/train/TTD_7_NAM_S0001_150.wav,z o-1 iz ɓ ə-0 iz z əː-1 t o-0 iz h ɔ-3 iz k ə-5 uz ɲ əː-4 t͡ɕ ɔ-0 ŋmz ɓ aː-1 iz tʰ əː-0,z o-1 iz ɓ ə-0 iz z əː-1 t o-0 iz h ɔ-3 iz k ə-5 uz ɲ əː-4 t͡ɕ ɔ-0 ŋmz ɓ aː-1 iz tʰ əː-0,S0001,z o-1 iz ɓ ə-0 iz z əː-1 t o-0 iz h ɔ-3 iz k ə-5 uz ɲ əː-4 t͡ɕ ɔ-0 ŋmz ɓ aː-1 iz tʰ əː-0,z o-1 iz ɓ ə-0 iz z əː-1 t o-0 iz h ɔ-3 iz k ə-5 uz ɲ əː-4 t͡ɕ ɔ-0 ŋmz ɓ aː-1 iz tʰ əː-0,False
TPA_Nu_6_S0009_130,audio_data/train/TPA_Nu_6_S0009_130.wav,t͡ɕ i-5 h aː-0 iz əː-0 iz m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz t͡ɕ i-5 h a-2 iz v e-1 tʰ a-0 mz m ɛ-5 ɗ i-0 ŋ a-0 iz ɗ i-0,t͡ɕ i-5 h aː-0 iz əː-0 iz m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz t͡ɕ i-5 h a-2 iz v e-1 tʰ a-0 mz m ɛ-5 ɗ i-0 ŋ a-0 iz ɗ i-0,S0009,t͡ɕ i-5 h aː-0 iz əː-0 iz m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz t͡ɕ i-5 h a-2 iz v e-1 tʰ a-0 mz m ɛ-5 ɗ i-0 ŋ a-0 iz ɗ i-0,t͡ɕ i-5 h aː-0 iz əː-0 iz m ɛ-5 t͡ɕ i-5 ɗ aː-0 ŋz o-4 mz ɗ ə-4 iz t͡ɕ i-5 h a-2 iz v e-1 tʰ a-0 mz m ɛ-5 ɗ i-0 ŋ a-0 iz ɗ i-0,False
NMA_7_NU_S0002_153,audio_data/train/NMA_7_NU_S0002_153.wav,ɗ ə-0 iz ɗ ɔ-1 k ə-5 pz ɓ e-4 nz,ɗ ə-0 iz ɗ ɔ-1 k ə-5 pz ɓ e-4 nz,S0002,ɗ ə-0 iz ɗ ɔ-1 k ə-5 pz ɓ e-4 nz,ɗ ə-0 iz ɗ ɔ-1 k ə-5 pz ɓ e-4 nz,False
DNK_7_NU_S0048_240,audio_data/train/DNK_7_NU_S0048_240.wav,k aː-4 kz ɓ aː-5 nz ɗ aː-4 pz l aː-5 iz tʰ e-4 n aː-1 uz,k aː-4 kz ɓ aː-5 nz ɗ aː-4 pz l aː-5 iz tʰ e-4 n aː-1 uz,S0048,k aː-4 kz ɓ aː-5 nz ɗ aː-4 pz l aː-5 iz tʰ e-4 n aː-1 uz,k aː-4 kz ɓ aː-5 nz ɗ aː-4 pz l aː-5 iz tʰ e-4 n aː-1 uz,False
TTT_Nu_6_S00049_14,audio_data/train/TTT_Nu_6_S00049_14.wav,t əː-4 ɗ o-4 ɓ aː-5 nz,t əː-4 ɗ o-4 ɓ aː-5 nz,S00049,t əː-4 ɗ o-4 ɓ aː-5 nz,t əː-4 ɗ o-4 ɓ aː-5 nz,False
NMA_7_NU_S0002_140,audio_data/train/NMA_7_NU_S0002_140.wav,k ɔ-4 k ɔ-1 ɓ a-0 iz ŋ ɨə-5 kz z ɔ-4,k ɔ-4 k ɔ-1 ɓ a-0 iz ŋ ɨə-5 kz z ɔ-4,S0002,k ɔ-4 k ɔ-1 ɓ a-0 iz ŋ ɨə-5 kz z ɔ-4,k ɔ-4 k ɔ-1 ɓ a-0 iz ŋ ɨə-5 kz z ɔ-4,False
NMA_7_NU_S0002_209,audio_data/train/NMA_7_NU_S0002_209.wav,ɗ ɔ-5 kpz k ə-0 uz tʰ əː-0 s a-0 uz v aː-1 t͡ɕ ɔ-0 ɓ iə-4 tz k aː-4 kz h u-1 ŋmz v ɨə-0 ŋz l aː-1 aː-0 iz,ɗ ɔ-5 kpz k ə-0 uz tʰ əː-0 s a-0 uz v aː-1 t͡ɕ ɔ-0 ɓ iə-4 tz k aː-4 kz h u-1 ŋmz v ɨə-0 ŋz l aː-1 aː-0 iz,S0002,ɗ ɔ-5 kpz k ə-0 uz tʰ əː-0 s a-0 uz v aː-1 t͡ɕ ɔ-0 ɓ iə-4 tz k aː-4 kz h u-1 ŋmz v ɨə-0 ŋz l aː-1 aː-0 iz,ɗ ɔ-5 kpz k ə-0 uz tʰ əː-0 s a-0 uz v aː-1 t͡ɕ ɔ-0 ɓ iə-4 tz k aː-4 kz h u-1 ŋmz v ɨə-0 ŋz l aː-1 aː-0 iz,False
NTN_7_NU_S0042_16,audio_data/train/NTN_7_NU_S0042_16.wav,tʰ aː-3 uz ɲ i-0 əː-0 iz t͡ɕ ɨə-1 ŋz k uə-3 t͡ɕ u-4 ŋmz m i-1 ŋ̟z m aː-0 ŋz t e-0 nz m o-5 tz ŋ ɨə-1 iz eaː-0 ŋ̟z h u-1 ŋmz l iə-5 tz s i-2 ɗ ə-4 iz,tʰ aː-3 uz ɲ i-0 əː-0 iz t͡ɕ ɨə-1 ŋz k uə-3 t͡ɕ u-4 ŋmz m i-1 ŋ̟z m aː-0 ŋz t e-0 nz m o-5 tz ŋ ɨə-1 iz eaː-0 ŋ̟z h u-1 ŋmz l iə-5 tz s i-2 ɗ ə-4 iz,S0042,tʰ aː-3 uz ɲ i-0 əː-0 iz t͡ɕ ɨə-1 ŋz k uə-3 t͡ɕ u-4 ŋmz m i-1 ŋ̟z m aː-0 ŋz t e-0 nz m o-5 tz ŋ ɨə-1 iz eaː-0 ŋ̟z h u-1 ŋmz l iə-5 tz s i-2 ɗ ə-4 iz,tʰ aː-3 uz ɲ i-0 əː-0 iz t͡ɕ ɨə-1 ŋz k uə-3 t͡ɕ u-4 ŋmz m i-1 ŋ̟z m aː-0 ŋz t e-0 nz m o-5 tz ŋ ɨə-1 iz eaː-0 ŋ̟z h u-1 ŋmz l iə-5 tz s i-2 ɗ ə-4 iz,False
PTT_7_NU_S0041_44,audio_data/train/PTT_7_NU_S0041_44.wav,ɗ o-0 ŋmz k ə-1 mz t a-0 iz s w ə-0 nz ɓ aː-3 uz,ɗ o-0 ŋmz k ə-1 mz t a-0 iz s w ə-0 nz ɓ aː-3 uz,S0041,ɗ o-0 ŋmz k ə-1 mz t a-0 iz s w ə-0 nz ɓ aː-3 uz,ɗ o-0 ŋmz k ə-1 mz t a-0 iz s w ə-0 nz ɓ aː-3 uz,False
DNK_7_NU_S0048_273,audio_data/train/DNK_7_NU_S0048_273.wav,s aː-4 ŋz h o-0 mz s a-0 uz tʰ ə-4 iz s əː-0 nz k aː-0 ɗ aː-2 t͡ɕ e-4 tz,s aː-4 ŋz h o-0 mz s a-0 uz tʰ ə-4 iz s əː-0 nz k aː-0 ɗ aː-2 t͡ɕ e-4 tz,S0048,s aː-4 ŋz h o-0 mz s a-0 uz tʰ ə-4 iz s əː-0 nz k aː-0 ɗ aː-2 t͡ɕ e-4 tz,s aː-4 ŋz h o-0 mz s a-0 uz tʰ ə-4 iz s əː-0 nz k aː-0 ɗ aː-2 t͡ɕ e-4 tz,False
DNK_7_NU_S0048_313,audio_data/train/DNK_7_NU_S0048_313.wav,t əː-4 k u-2 ŋmz m w o-4 nz n ɔ-4 iz,t əː-4 k u-2 ŋmz m w o-4 nz n ɔ-4 iz,S0048,t əː-4 k u-2 ŋmz m w o-4 nz n ɔ-4 iz,t əː-4 k u-2 ŋmz m w o-4 nz n ɔ-4 iz,False
