id,path,canonical,transcript,speaker_id
TTD_7_NAM_S0001_150,audio_data/train/TTD_7_NAM_S0001_150.wav,rồi bây giờ tôi hỏi cậu nhớ trong bài thơ,dồi bây giờ tôi hỏi cậu nhớ trong bài thơ,S0001
TPA_Nu_6_S0009_130,audio_data/train/TPA_Nu_6_S0009_130.wav,chị hai ơi mẹ chị đang ốm đấy chị hãy về thăm mẹ đi ngay đi,chị hai ơi mẹ chị đang ốm đấy chị hãy về thăm mẹ đi ngay đi,S0009
NMA_7_NU_S0002_153,audio_data/train/NMA_7_NU_S0002_153.wav,đây đò cập bến,đây đò cập bến,S0002
DNK_7_NU_S0048_240,audio_data/train/DNK_7_NU_S0048_240.wav,các bạn đáp lại thế nào,các bạn đáp lại thế nào,S0048
TTT_Nu_6_S00049_14,audio_data/train/TTT_Nu_6_S00049_14.wav,tớ đố bạn,tớ đố bạn,S00049
NMA_7_NU_S0002_140,audio_data/train/NMA_7_NU_S0002_140.wav,có cò bay ngược gió,có cò bay ngược gió,S0002
NMA_7_NU_S0002_209,audio_data/train/NMA_7_NU_S0002_209.wav,đọc câu thơ sau và cho biết các hùng vương là ai,đọc câu thơ xau và cho biết các hùng vương là ai,S0002
NTN_7_NU_S0042_16,audio_data/train/NTN_7_NU_S0042_16.wav,thảo nhi ơi trường của chúng mình mang tên một người anh hùng liệt sĩ đấy,thảo nhi ơi trường của chúng mình mang tên một người anh hùng liệt sĩ đấy,S0042
PTT_7_NU_S0041_44,audio_data/train/PTT_7_NU_S0041_44.wav,đông cầm tay xuân bảo,đông cầm tay xuân bảo,S0041
DNK_7_NU_S0048_273,audio_data/train/DNK_7_NU_S0048_273.wav,sáng hôm sau thấy sơn ca đã chết,sáng hôm sau thấy sơn ca đã chết,S0048
DNK_7_NU_S0048_313,audio_data/train/DNK_7_NU_S0048_313.wav,tớ cũng muốn nói,tớ cũng muốn nói,S0048
GQM_Nam_6_S0006_62,audio_data/train/GQM_Nam_6_S0006_62.wav,có bà tớ ông tớ có cả bố mẹ tớ,có bà tớ ông tớ có cả bố mẹ tớ,S0006
MK_7_NU_S0007_2,audio_data/train/MK_7_NU_S0007_2.wav,gia đình của tớ có bốn người,gia đình của tớ có bốn người,S0007
THA_7_NU_S0043_2,audio_data/train/THA_7_NU_S0043_2.wav,chúng tôi rất ngạc nhiên,chúng tôi rất ngạc nhiên,S0043
NMA_7_NU_S0002_274,audio_data/train/NMA_7_NU_S0002_274.wav,cuộc thi được tổ chức từ năm hai hai nghìn linh tám mỗi năm một lần,cuộc thi được tổ chức từ lăm hai hai nghìn linh tám mỗi lăm một lần,S0002
PC_7_NAM_S0004_26,audio_data/train/PC_7_NAM_S0004_26.wav,bài thơ tả dáng vẻ của mỗi loài chim đến bờ tre khác nhau như thế nào,bài thơ tả dáng vẻ của mỗi loài chim đến bờ tre khác nhau như thế nào,S0004
PTT_7_NU_S0041_39,audio_data/train/PTT_7_NU_S0041_39.wav,nàng tiên hạ tượng trưng cho mùa hạ,nàng tiên hạ tượng trưng cho mùa hạ,S0041
PTT_7_NU_S0041_75,audio_data/train/PTT_7_NU_S0041_75.wav,còn mùa đông đang yêu là bởi vì mùa đang ấp của mầm sống để để xuân về cây cối sẽ đâm chồi nảy lộc,còn mùa đông đang yêu là bởi vì mùa đang ấp của mầm sống để để xuân về cây cối sẽ đâm chồi nảy lộc,S0041
TPA_Nu_6_S0009_55,audio_data/train/TPA_Nu_6_S0009_55.wav,thay theo tớ các ý đúng với nội dung chuyện là,thay theo tớ các ý đúng với nội dung chuyện là,S0009
TPA_Nu_6_S0009_81,audio_data/train/TPA_Nu_6_S0009_81.wav,nghe chị cả nói xong sóc con giận giữ mắng chị cả,nghe chị cả nói xong xóc con giận giữ mắng chị cả,S0009
NNM_Nu_6_S00045_24,audio_data/train/NNM_Nu_6_S00045_24.wav,xê có má bé lê chả sợ nữa,xê có má bé lê chả sợ nữa,S00045
TPA_Nu_6_S0009_119,audio_data/train/TPA_Nu_6_S0009_119.wav,chị cả ơi chị về nhà đi mẹ chị đang ốm đấy,chị cả ơi chị về nhà đi mẹ chị đang ốm đấy,S0009
LDMT_Nam_6_S00047_47,audio_data/train/LDMT_Nam_6_S00047_47.wav,cò vừa ngủ,cò vừa ngủ,S00047
GQM_Nam_6_S0006_20,audio_data/train/GQM_Nam_6_S0006_20.wav,con mà đến gần nó sẽ ăn thịt đó,con mà đến gần nó sẽ ăn thịt đó,S0006
NTM_Nam_6_S00010_44,audio_data/train/NTM_Nam_6_S00010_44.wav,nhà bạn có những con vật gì,nhà bạn có những con vật gì,S00010
NMA_7_NU_S0002_221,audio_data/train/NMA_7_NU_S0002_221.wav,kẻ miền biển người miền núi khi có việc thì giúp đỡ lẫn nhau,kẻ miền biển người miền lúi khi có việc thì giúp đỡ lẫn nhau,S0002
TTD_7_NAM_S0001_15,audio_data/train/TTD_7_NAM_S0001_15.wav,từ từ mắt mắt đen mát dịu vàng,từ từ mắt mắt đen mát dịu vàng,S0001
NHM_7_NU_S0006_60,audio_data/train/NHM_7_NU_S0006_60.wav,mưa dầm đề mưa sướt mướt ngày này qua ngày khác,mưa dầm đề mưa xướt mướt ngày này qua ngày khác,S0006
VTA_Nam_6_S0002_13,audio_data/train/VTA_Nam_6_S0002_13.wav,thỏ bẽn lẽn,thỏ bẽn lẽn,S0002
HYT_Nu_6_S0005_60,audio_data/train/HYT_Nu_6_S0005_60.wav,trang ơi cậu đã được đi biển chưa,trang ơi cậu đã được đi biển chưa,S0005
PTT_7_NU_S0041_107,audio_data/train/PTT_7_NU_S0041_107.wav,nhai mãi nhai hoài,nhai mãi nhai hoài,S0041
NTN_7_NU_S0042_42,audio_data/train/NTN_7_NU_S0042_42.wav,và cả cô hiệu trưởng cũng xuống tận nơi đón bọn mình,và cả cô hiệu trưởng cũng xuống tận nơi đón bọn mình,S0042
NMA_7_NU_S0002_241,audio_data/train/NMA_7_NU_S0002_241.wav,trần quốc toản vô cùng căm giận,trần quốc toản vô cùng căm giận,S0002
PTT_7_NU_S0041_151,audio_data/train/PTT_7_NU_S0041_151.wav,tớ cũng thích mùa hè,tớ cũng thích mùa hè,S0041
NHM_7_NU_S0006_174,audio_data/train/NHM_7_NU_S0006_174.wav,bệ hạ đáng kính chủ nhân xin gửi tới ngài chào mừng món quà biếu,bệ hạ đáng kính chủ nhân xin gửi tới ngài chào mừng món quà biếu,S0006
TTD_7_NAM_S0001_70,audio_data/train/TTD_7_NAM_S0001_70.wav,mỗi năm bồ câu đẻ nhiều lứa mỗi lứa hai trứng,mỗi lăm bồ câu đẻ nhiều lứa mỗi lứa hai trứng,S0001
GQM_Nam_6_S0006_93,audio_data/train/GQM_Nam_6_S0006_93.wav,nàng tiên cá làm gì để dân đi biển hết buồn,nàng tiên cá làm gì để dẫn đi biển hết buồn,S0006
THA_7_NU_S0043_56,audio_data/train/THA_7_NU_S0043_56.wav,sự luyện tập kiên trì của thầy nguyễn ngọc ký để đạt được điều mình mong ước,sự luyện tập kiên trì của thầy nguyễn ngọc ký để đạt được điều mình mong ước,S0043
NMA_7_NU_S0002_233,audio_data/train/NMA_7_NU_S0002_233.wav,vị vua đầu tiên lập ra nước ta là ai,vị vua đầu tiên lập ra nước ta là ai,S0002
NMA_7_NU_S0002_53,audio_data/train/NMA_7_NU_S0002_53.wav,rừng là cây xúm xít,rừng là cây xúm xít,S0002
DNK_7_NU_S0048_296,audio_data/train/DNK_7_NU_S0048_296.wav,bê đối với hoá,bê đối với hoá,S0048
NHM_7_NU_S0006_111,audio_data/train/NHM_7_NU_S0006_111.wav,năm ấy lúa tốt quá bông nào cũng cũng bông nào bông nấy cũng mẩy đều nặng trĩu,năm ấy lúa tốt quá bông nào cũng cũng bông nào bông nấy cũng mẩy đều nặng trĩu,S0006
THA_Nu_6_S00042_117,audio_data/train/THA_Nu_6_S00042_117.wav,tớ được xem trên ti vi rồi,tớ được xem trên ti vi rồi,S00042
DNK_7_NU_S0048_187,audio_data/train/DNK_7_NU_S0048_187.wav,thì ra sơn ca đã bị nhốt trong lồng,thì ra sơn ca đã bị nhốt trong lồng,S0048
DNK_7_NU_S0048_76,audio_data/train/DNK_7_NU_S0048_76.wav,vi vu vi vút từ trên trời xanh thẳm,vi vu vi vút từ trên trời xanh thảm,S0048
TPA_Nu_6_S0009_168,audio_data/train/TPA_Nu_6_S0009_168.wav,chúng tôi hứa viết thư cho thầy để thầy không thấy thiếu chúng tôi trong mấy tháng hè,chúng tôi hứa viết thư cho thầy để thầy không thấy thiếu chúng tôi trong mấy tháng hè,S0009
NMA_7_NU_S0002_12,audio_data/train/NMA_7_NU_S0002_12.wav,chiều cao của hươu cao cổ gì thuận tiện và có gì bất tiện,chiều cao của hươu cao cổ gì thuận tiện và có gì bất tiện,S0002
NTM_Nam_6_S00010_21,audio_data/train/NTM_Nam_6_S00010_21.wav,tớ biết cậu cũng đọc hay lắm nhé,tớ biết cậu cũng đọc hay lắm nhé,S00010
PC_7_NAM_S0004_3,audio_data/train/PC_7_NAM_S0004_3.wav,một đàn cò bạch,một đàn cò bạch,S0004
GQM_Nam_6_S0006_60,audio_data/train/GQM_Nam_6_S0006_60.wav,tớ chưa cậu ạ,tớ chưa cậu ạ,S0006
PC_7_NAM_S0004_82,audio_data/train/PC_7_NAM_S0004_82.wav,vì ở đấy có rất nhiều cảnh đẹp,vì ở đấy có dất nhiều cảnh đẹp,S0004
THA_Nu_6_S00042_52,audio_data/train/THA_Nu_6_S00042_52.wav,hổ la thỏ phá nhà ta à,hổ la thỏ phá nhà ta à,S00042
NHM_7_NU_S0006_126,audio_data/train/NHM_7_NU_S0006_126.wav,cả đêm ấy gia đình lang liêu quây quần xung quanh bếp lửa cho đến khi bánh chín,cả đêm ấy gia đình lang liêu quây quần xung quanh bếp lửa cho đến khi bánh chín,S0006
DNK_7_NU_S0048_81,audio_data/train/DNK_7_NU_S0048_81.wav,cố rướn cặp mỏ thanh mảnh,cố rướn cặp mỏ thanh thảm,S0048
THA_Nu_6_S00042_9,audio_data/train/THA_Nu_6_S00042_9.wav,hay tớ đố cậu,hay tớ đố cậu,S00042
NHM_7_NU_S0006_66,audio_data/train/NHM_7_NU_S0006_66.wav,ngồi trong nhà ta thấy cả những đàn cá ròng ròng từng đàn từng đàn xuôi theo nước vào tận đồng sâu,ngồi trong nhà ta thấy cả những đàn cá ròng ròng từng đàn từng đàn xuôi theo nước vào tận đồng xâu,S0006
NTN_7_NU_S0042_8,audio_data/train/NTN_7_NU_S0042_8.wav,cuối hành lang mỗi tầng đều có khu vệ sinh rộng rãi và sạch sẽ,cuối hành lang mỗi tầng đều có khu vệ sinh rộng rãi và sạch sẽ,S0042
NHM_7_NU_S0006_78,audio_data/train/NHM_7_NU_S0006_78.wav,ở một tỉnh ở miền nam,ở một tỉnh ở miền nam,S0006
HYT_Nu_6_S0005_1,audio_data/train/HYT_Nu_6_S0005_1.wav,sau đây tớ sẽ đọc bài chuột út,sau đây tớ xẽ đọc bài chuột út,S0005
PTT_7_NU_S0041_85,audio_data/train/PTT_7_NU_S0041_85.wav,nhai mãi nhai hoài,nhai mãi nhai hoài,S0041
LDMT_Nam_6_S00047_34,audio_data/train/LDMT_Nam_6_S00047_34.wav,sẻ kể tổ của nó nhỏ như hộp diêm mà đẹp,sẻ kể tổ của nó nhỏ như hộp diêm mà đẹp,S00047
PTT_7_NU_S0041_68,audio_data/train/PTT_7_NU_S0041_68.wav,xê vì sao mùa thu đáng yêu,xê vì sao mùa thu đáng yêu,S0041
DNK_7_NU_S0048_31,audio_data/train/DNK_7_NU_S0048_31.wav,hôm nay về mở hội,hôm nay về mở hội,S0048
DNK_7_NU_S0048_36,audio_data/train/DNK_7_NU_S0048_36.wav,cây cam vàng thêm trái,cây cam vàng thêm trái,S0048
NNM_Nu_6_S00045_74,audio_data/train/NNM_Nu_6_S00045_74.wav,bởi vì ba chú lợn hay bị sói rập rình,bởi vì ba chú lợn hay bị sói rập rình,S00045
NNM_Nu_6_S00045_109,audio_data/train/NNM_Nu_6_S00045_109.wav,cá sấu ngu ngốc lập tức há miệng to,cá sấu ngu ngốc lập tức há miệng to,S00045
TTD_7_NAM_S0001_84,audio_data/train/TTD_7_NAM_S0001_84.wav,rồi bây giờ bác hàng xóm khen em khéo chăm đàn gà mới nở thì cậu sẽ nói như nào và cảm ơn như nào,dồi bây giờ bác hàng xóm khen em khéo chăm đàn gà mới nở thì cậu xẽ nói như nào và cảm ơn như nào,S0001
GQM_Nam_6_S0006_22,audio_data/train/GQM_Nam_6_S0006_22.wav,vì chuột út thấy một con quái vật,vì chuột út thấy một con quái vật,S0006
NTM_Nam_6_S00010_43,audio_data/train/NTM_Nam_6_S00010_43.wav,nồi hũ chài giỏ rá gáo lược liềm,nồi hũ chài giỏ rá gáo lược liềm,S00010
VTA_Nam_6_S0002_1,audio_data/train/VTA_Nam_6_S0002_1.wav,khang ơi bây giờ tớ bảo đọc bài thỏ trắng và quạ khoang cho cậu nghe nhé,khang ơi bây giờ tớ bảo đọc bài thỏ trắng và quạ khoang cho cậu nghe nhé,S0002
NHM_7_NU_S0006_85,audio_data/train/NHM_7_NU_S0006_85.wav,bây giờ bạn hỏi lại mình đi,bây giờ bạn hỏi lại mình đi,S0006
HYT_Nu_6_S0005_65,audio_data/train/HYT_Nu_6_S0005_65.wav,tớ đã nhìn thấy con cá cá heo và cá và cua,tớ đã nhìn thấy con cá cá heo và cá và cua,S0005
NMA_7_NU_S0002_40,audio_data/train/NMA_7_NU_S0002_40.wav,lòng suối nhiều đá sắc,lòng xuối nhiều đá xắt,S0002
NNM_Nu_6_S00045_40,audio_data/train/NNM_Nu_6_S00045_40.wav,sống trên một bãi đất trống,sống trên một bãi đất trống,S00045
PC_7_NAM_S0004_49,audio_data/train/PC_7_NAM_S0004_49.wav,vì sao bạn lại thích con chó,vì sao bạn lại thích con chó,S0004
NT_7_NAM_S0009_39,audio_data/train/NT_7_NAM_S0009_39.wav,vì vì thần gió không thể vì ông mạnh đã làm một ngôi nhà rất vững chãi,vì vì thần gió không thể vì ông mạnh đã làm một ngôi nhà rất vững chãi,S0009
NDBA_7_NAM_S0010_19,audio_data/train/NDBA_7_NAM_S0010_19.wav,điều gì giúp voi phát hiện ra ích lợi của chiếc mũi dài,điều gì giúp voi phát hiện ra ích lợi của chiếc mũi dài,S0010
GQM_Nam_6_S0006_6,audio_data/train/GQM_Nam_6_S0006_6.wav,mũ nó đỏ mỏ nhọn mắt thô lố,mũ nó đỏ mỏ nhọn mắt thô lố,S0006
NDBA_7_NAM_S0010_154,audio_data/train/NDBA_7_NAM_S0010_154.wav,năm mấy lúa tốt quá,năm mấy lúa tốt quá,S0010
NTN_7_NU_S0042_87,audio_data/train/NTN_7_NU_S0042_87.wav,cô dạy em tập viết,cô dạy em tập viết,S0042
NNM_Nu_6_S00045_111,audio_data/train/NNM_Nu_6_S00045_111.wav,ngay lúc đó lập tức,ngay lúc đó lập tức,S00045
LDMT_Nam_6_S00047_8,audio_data/train/LDMT_Nam_6_S00047_8.wav,em nhờ chị tìm thế chị đã tìm ra dép cho em chưa,em nhờ chị tìm thế chị đã tìm ra dép cho em chưa,S00047
VTA_Nam_6_S0002_16,audio_data/train/VTA_Nam_6_S0002_16.wav,thỏ trắng và quạ khoang,thỏ trắng và quạ khoang,S0002
THA_7_NU_S0043_103,audio_data/train/THA_7_NU_S0043_103.wav,nhiều ý kiến được đưa ra các bạn có thương tôi không tôi sẽ không nở hoa được nữa,nhiều ý kiến được đưa ra các bạn có thương tôi không tôi sẽ không nở hoa được nữa,S0043
NDBA_7_NAM_S0010_24,audio_data/train/NDBA_7_NAM_S0010_24.wav,không lâu sau những chỗ đất mọc lên nhiều mầm cây xanh tốt,không lâu xau những chỗ đất mọc lên nhiều mầm cây xanh tốt,S0010
PTT_7_NU_S0041_73,audio_data/train/PTT_7_NU_S0041_73.wav,mùa thu đá yêu là vì thu làm cho trời xanh cao,mùa thu đá yêu là vị thu làm cho trời xanh cao,S0041
THA_7_NU_S0043_62,audio_data/train/THA_7_NU_S0043_62.wav,mỗi tuần thầy sẽ tặng một cây cho em nào là kết quả học tập cao nhất trong tuần,mỗi tuần thầy sẽ tặng một cây cho em nào là kết quả học tập cao nhất trong tuần,S0043
MK_7_NU_S0007_58,audio_data/train/MK_7_NU_S0007_58.wav,mỗi bông cúc xinh xắn dịu dàng lung linh như những tia nắng nhỏ,mỗi bông cúc xinh xắn dịu dàng lung linh như những tia nắng nhỏ,S0007
NDBA_7_NAM_S0010_89,audio_data/train/NDBA_7_NAM_S0010_89.wav,cậu chủ hãy cởi quần áo ra nhảy ngay xuống hồ đi,cậu chủ hãy cởi quần áo da nhảy ngay xuống hồ đi,S0010
PTT_7_NU_S0041_119,audio_data/train/PTT_7_NU_S0041_119.wav,tay già lao xao,tay già lao xao,S0041
HYT_Nu_6_S0005_8,audio_data/train/HYT_Nu_6_S0005_8.wav,nó quát rõ to,nó quát rõ to,S0005
TPA_Nu_6_S0009_79,audio_data/train/TPA_Nu_6_S0009_79.wav,chị thương mẹ chị quá,chị thương mẹ chị quá,S0009
PC_7_NAM_S0004_123,audio_data/train/PC_7_NAM_S0004_123.wav,nó có một bộ lông màu trắng và những sọc vàng,nó có một bộ lông màu trắng và những xọc vàng,S0004
NMA_7_NU_S0002_240,audio_data/train/NMA_7_NU_S0002_240.wav,giặc nguyên cho sứ thần sang giả vờ mượn đường để xâm chiếm nước ta,giặc nguyên cho xứ thần xang giả vờ mượn đường để xâm chiếm nước ta,S0002
PC_7_NAM_S0004_133,audio_data/train/PC_7_NAM_S0004_133.wav,còn trong các đồ dùng học tập thì cậu thích nhất là đồ dùng nào,còn trong các đồ dùng học tập thì cậu thích nhất là đồ dùng nào,S0004
NMA_7_NU_S0002_81,audio_data/train/NMA_7_NU_S0002_81.wav,voi vận tải gấu xung phong,voi vận tải gấu xung phong,S0002
NHM_7_NU_S0006_44,audio_data/train/NHM_7_NU_S0006_44.wav,vì đã xô đổ ba lần ngôi nhà của ông mạnh khiến và những người dân khác khiến họ khó ở,vì đã xô đổ ba lần ngôi nhà của ông mạnh khiến và những người dân khác khiến họ khó ở,S0006
NDBA_7_NAM_S0010_106,audio_data/train/NDBA_7_NAM_S0010_106.wav,tất cả là của bà tước,tất cả là của bà tước,S0010
NMA_7_NU_S0002_158,audio_data/train/NMA_7_NU_S0002_158.wav,chiều hè hôm nao,chiều hè hôm nao,S0002
NDBA_7_NAM_S0010_92,audio_data/train/NDBA_7_NAM_S0010_92.wav,cứu với cứu với bọn trộm đã cướp lấy quần áo của chủ nhân tôi khi đang tắm,cứu với kíu vối bọn trộm đã cướp lấy quần áo của chủ nhân tôi khi đang tắm,S0010
PC_7_NAM_S0004_88,audio_data/train/PC_7_NAM_S0004_88.wav,quê bạn có đặc sản gì,quê bạn có đặc xản gì,S0004
TPA_Nu_6_S0009_62,audio_data/train/TPA_Nu_6_S0009_62.wav,để tớ kể nhé,để tớ kể nhé,S0009
THA_Nu_6_S00042_110,audio_data/train/THA_Nu_6_S00042_110.wav,chó xù chó xù sợ quá,chó xù chó xù sợ quá,S00042
DNK_7_NU_S0048_88,audio_data/train/DNK_7_NU_S0048_88.wav,tìm những từ ngữ tả vẻ đẹp của mặt hồ i rơ pao,tìm những từ ngữ tả vẻ đẹp của mặt hồ i rơ pao,S0048
THA_Nu_6_S00042_231,audio_data/train/THA_Nu_6_S00042_231.wav,đúng rồi cậu giỏi quá,đúng rồi cậu giỏi quá,S00042
TTT_Nu_6_S00049_6,audio_data/train/TTT_Nu_6_S00049_6.wav,ti vi có cá mập,ti vi có cá mập,S00049
NMA_7_NU_S0002_264,audio_data/train/NMA_7_NU_S0002_264.wav,quốc toản còn trẻ mà đã biết lo việc nước ta ta có lời khen,quốc toản còn trẻ mà đã biết lo việc nước ta ta có lời khen,S0002
TTD_7_NAM_S0001_181,audio_data/train/TTD_7_NAM_S0001_181.wav,trâu ra ngoài ruộng trâu cày với ta,trâu da ngoài duộng trâu cày với ta,S0001
HYT_Nu_6_S0005_22,audio_data/train/HYT_Nu_6_S0005_22.wav,tớ đố bạn tại sao chuột út lại buồn,tớ đố bạn tại sao chuột út lại buồn,S0005
NTM_Nam_6_S00010_45,audio_data/train/NTM_Nam_6_S00010_45.wav,chim khướu trai trâu,chim khíu trai trâu,S00010
PC_7_NAM_S0004_100,audio_data/train/PC_7_NAM_S0004_100.wav,về quê tớ được chơi với các bạn ở quê được đi thả diều ở cánh đồng lúa,về quê tớ được chơi với các bạn ở quê được đi thả diều ở cánh đồng lúa,S0004
NT_7_NAM_S0009_16,audio_data/train/NT_7_NAM_S0009_16.wav,ông mạnh an ủi và mời thần thỉnh thoảng tới chơi,ông mạnh an ủi và mời thần thỉnh thoảng tới chơi,S0009
NDBA_7_NAM_S0010_84,audio_data/train/NDBA_7_NAM_S0010_84.wav,nhà vua nhận quà rồi cảm ơn chủ nhân của mèo một cách chân thành,nhà vua nhận quà dồi cảm ơn chủ nhân của mèo một cách chân thành,S0010
PC_7_NAM_S0004_113,audio_data/train/PC_7_NAM_S0004_113.wav,vậy bạn còn biết thêm những loài hoa khác nào không,vậy bạn còn biết thêm những loài hoa khác nào không,S0004
NT_7_NAM_S0009_24,audio_data/train/NT_7_NAM_S0009_24.wav,tớ hỏi cậu chuyện có những nhân vật nào,tớ hỏi cậu chuyện có những nhân vật nào,S0009
PTT_7_NU_S0041_61,audio_data/train/PTT_7_NU_S0041_61.wav,hạ cho trái ngọn hoa thơm,hạ cho trái ngọn hoa thơm,S0041
NMA_7_NU_S0002_145,audio_data/train/NMA_7_NU_S0002_145.wav,về vẽ về làng ta,về vẽ về làng ta,S0002
TPA_Nu_6_S0009_89,audio_data/train/TPA_Nu_6_S0009_89.wav,chị muốn về thăm mẹ nhưng chị phải xe cho xong đống chỉ này đã,chị muốn về thăm mẹ nhưng chị phải xe cho xong đống chỉ này đã,S0009
PC_7_NAM_S0004_42,audio_data/train/PC_7_NAM_S0004_42.wav,vì chim công có màu bụng cánh rất đẹp,vì chim công có màu bụng cánh rất đẹp,S0004
NHM_7_NU_S0006_119,audio_data/train/NHM_7_NU_S0006_119.wav,họ lấy gạo nếp vo kĩ đồ thật dẻo cho vào thật mịn rồi nặn thành một thứ bánh hình tròn mịn màng và trong trẻo như bầu trời,họ lấy gạo nếp vo kĩ đồ thật dẻo cho vào thật mịn rồi nặn thành một thứ bánh hình tròn mịn màng và trong trẻo như bầu trời,S0006
TTT_Nu_6_S00049_71,audio_data/train/TTT_Nu_6_S00049_71.wav,và nhà đã bị vỡ,và nhà đã bị vỡ,S00049
MK_7_NU_S0007_49,audio_data/train/MK_7_NU_S0007_49.wav,mùa xuân lạnh giả,mùa xuân lạnh giả,S0007
NMA_7_NU_S0002_137,audio_data/train/NMA_7_NU_S0002_137.wav,đằm trong tiếng hò,đằm trong tiếng hò,S0002
NNM_Nu_6_S00045_22,audio_data/train/NNM_Nu_6_S00045_22.wav,a bé lê chả mê ti vi,a bé lê chả mê ti vi,S00045
HYT_Nu_6_S0005_99,audio_data/train/HYT_Nu_6_S0005_99.wav,a nàng tiên cá bê dân đi điểm,a nàng tiên cá bê dân đi điểm,S0005
